 15192.1 25398
 37888.7 30397.8
 33893.8 32353.8
 27157.9 30120.7
 37629.2 28659.1
 90563.1 22610.3
 5431.29 22339.1
 36947.8 32823.7
 39346 30277.9
 32020.9 19186.9
 39079.2 30032.9
 50065.6 37514.9
 59299.1 35429.2
 85392.5 59274.2
 54032.8 53080.7
 56267 52268.2
 1384.81 42031.4
 106460 31356.5
 98085.9 46601
 52579.9 59522.5
 60136.2 52222.3
 81994.9 51803.2
 82508 51660.7
 37628.3 54270.6
 54697.4 49813.1
 35372.3 38423.7
 95529.1 52244
 56387.4 53432.8
 36313.2 40322.5
 2658.87 18447.7
 55069 53309.3
 108780 41047.4
 57359 53608.8
 109388 41123.3
 106159 31403
 35629.7 38286.5
 7331.41 17442.3
 106460 31356.5
 98617 48536.7
 8019.4 47821.2
 97817.2 48807.7
 55768.8 53016.8
 98463.1 48125.2
 5148.19 17594.2
 51297.8 53957
 68041.8 48100.1
 25837.2 55324.5
 57427.5 47927
